Draw Date,Draw#,Numbers,PowerBall,Multiplier,Jackpot,Wins,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5
2012-01-04,1095,1-9-13-17-24,6,,1601327.43,0.0,1,9,13,17,24
2012-01-07,1096,7-11-15-16-20,1,,1961453.02,0.0,7,11,15,16,20
2012-01-11,1097,9-15-20-22-25,10,,2276149.41,1.0,9,15,20,22,25
2012-01-14,1098,3-23-25-28-30,5,,1000000.0,0.0,3,23,25,28,30
2012-01-18,1099,2-9-15-24-27,6,,1100000.0,0.0,2,9,15,24,27
2012-01-21,1100,15-18-25-31-34,1,,1200000.0,0.0,15,18,25,31,34
2012-01-25,1101,3-6-7-22-28,8,,1185495.97,0.0,3,6,7,22,28
2012-01-28,1102,15-17-21-26-36,10,,1550421.57,1.0,15,17,21,26,36
2012-02-01,1103,9-16-22-35-36,6,,1000000.0,0.0,9,16,22,35,36
2012-02-04,1104,1-3-10-17-27,10,,1000000.0,0.0,1,3,10,17,27
2012-02-08,1105,14-18-27-28-35,10,,1200000.0,0.0,14,18,27,28,35
2012-02-11,1106,13-25-30-33-34,7,,1287121.42,0.0,13,25,30,33,34
2012-02-15,1107,1-5-9-27-30,10,,1598146.0,0.0,1,5,9,27,30
2012-02-18,1108,10-15-28-29-31,4,,1998756.36,0.0,10,15,28,29,31
2012-02-22,1109,4-14-17-21-25,9,,2260217.74,0.0,4,14,17,21,25
2012-02-25,1110,2-11-20-25-35,7,,2743383.22,0.0,2,11,20,25,35
2012-02-29,1111,4-7-20-27-34,6,,3253910.64,0.0,4,7,20,27,34
2012-03-03,1112,1-16-20-21-28,8,,3.0,1.0,1,16,20,21,28
2012-03-07,1113,8-9-11-19-24,6,,,,8,9,11,19,24
2012-03-10,1114,13-14-26-32-35,1,,,,13,14,26,32,35
2012-03-14,1115,3-4-7-24-29,5,,1000000.0,0.0,3,4,7,24,29
2012-03-17,1116,20-21-22-23-27,2,,1100000.0,0.0,20,21,22,23,27
2012-03-21,1117,6-14-15-18-27,3,,1000000.0,0.0,6,14,15,18,27
2012-03-24,1118,1-6-20-33-36,8,,1366120.44,0.0,1,6,20,33,36
2012-03-28,1119,10-18-23-34-35,9,,1704978.69,0.0,10,18,23,34,35
2012-03-31,1120,5-12-18-30-34,8,,2.0,0.0,5,12,18,30,34
2012-04-04,1121,1-14-19-25-36,9,,2.0,2.0,1,14,19,25,36
2012-04-07,1122,7-13-14-15-31,8,,337746.14,0.0,7,13,14,15,31
2012-04-11,1123,8-10-13-23-29,9,,,,8,10,13,23,29
2012-04-14,1124,14-18-24-31-36,2,,,,14,18,24,31,36
2012-04-18,1125,2-25-26-32-36,6,,1303885.6,0.0,2,25,26,32,36
2012-04-21,1126,12-16-23-31-33,2,,1.0,0.0,12,16,23,31,33
2012-04-25,1127,4-9-10-15-22,6,,2096377.39,0.0,4,9,10,15,22
2012-04-28,1128,1-7-19-21-27,10,,2.0,1.0,1,7,19,21,27
2012-05-02,1129,7-10-15-24-32,7,,,,7,10,15,24,32
2012-05-05,1130,5-7-16-17-24,4,,1000000.0,0.0,5,7,16,17,24
2012-05-09,1131,4-6-14-16-35,1,,1000000.0,0.0,4,6,14,16,35
2012-05-12,1132,1-21-24-26-33,6,,1376598.29,0.0,1,21,24,26,33
2012-05-16,1133,10-11-18-19-20,2,,1717301.41,0.0,10,11,18,19,20
2012-05-19,1134,3-8-19-21-35,8,,2155781.86,0.0,3,8,19,21,35
2012-05-23,1135,2-14-18-20-33,1,,2400000.0,1.0,2,14,18,20,33
2012-05-26,1136,1-4-13-23-27,8,,,,1,4,13,23,27
2012-05-30,1137,6-16-17-19-31,7,,1000000.0,0.0,6,16,17,19,31
2012-06-02,1138,1-2-8-32-33,2,,,,1,2,8,32,33
2012-06-06,1139,10-11-12-26-33,1,,1.0,0.0,10,11,12,26,33
2012-06-09,1140,3-11-24-26-28,2,,1689974.79,0.0,3,11,24,26,28
2012-06-13,1141,2-12-13-26-28,5,,2.0,0.0,2,12,13,26,28
2012-06-16,1142,6-10-12-33-34,10,,2.0,0.0,6,10,12,33,34
2012-06-20,1143,5-19-22-29-30,8,,2957656.16,0.0,5,19,22,29,30
2012-06-23,1144,12-27-28-31-32,5,,3528416.88,0.0,12,27,28,31,32
2012-06-27,1145,2-11-20-22-25,5,,4122482.98,0.0,2,11,20,22,25
2012-06-30,1146,5-6-7-20-27,2,,4893618.76,0.0,5,6,7,20,27
